state,gov_election_year,primary_election_date,election_passed,pres_dem_1,pres_dem_1_prob,pres_dem_2,pres_dem_2_prob,pres_dem_3,pres_dem_3_prob,pres_dem_4,pres_dem_4_prob,pres_dem_5,pres_dem_5_prob,pres_dem_6,pres_dem_6_prob,pres_dem_7,pres_dem_7_prob,pres_dem_8,pres_dem_8_prob,pres_dem_9,pres_dem_9_prob,pres_dem_10,pres_dem_10_prob,pres_dem_11,pres_dem_11_prob,pres_rep_1,pres_rep_1_prob,pres_rep_2,pres_rep_2_prob,pres_rep_3,pres_rep_3_prob,pres_rep_4,pres_rep_4_prob,pres_rep_5,pres_rep_5_prob,senator_24,senator_26,governor
Alabama,2022,May 24,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,,Republican Tommy Tuberville,Republican Kay Ivey
Alaska,2022,August 16,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,,Republican Dan Sullivan,Republican Mike Dunleavy
Arizona,2022,August 2,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,Democrat Kyrsten Sinema,,Republican Doug Ducey
Arkansas,2022,May 24,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,,Republican Tom Cotton,Republican Asa Hutchinson
California,2022,June 7,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,Democrat Dianne Feinstein,,Democrat Gavin Newsom
Colorado,2022,June 28,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,,Democrat John Hickenlooper,Democrat Jared Polis
Connecticut,2022,August 9,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,Democrat Chris Murphy,,Democrat Ned Lamont
Delaware,2024,September 13,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,Democrat Tom Carper,Democrat Chris Coons,Democrat John Carney
Florida,2022,August 23,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,Republican Rick Scott,,Republican Ron DeSantis
Georgia,2022,May 24,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,,Democrat Jon Ossoff,Republican Brian Kemp
Hawaii,2022,August 13,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,Democrat Mazie Hirono,,Democrat David Ige
Idaho,2022,May 17,1,A Democratic Candidate,0.1,Democrat Joe Biden,0.4,Democrat Kamala Harris,0.18,Democrat Pete Buttigieg,0.04,Democrat Amy Klobuchar,0.04,Democrat Bernie Sanders,0.04,Democrat Elizabeth Warren,0.04,Democrat Gavin Newsom,0.04,Democrat J.B. Pritzker,0.04,Democrat Gretchen Whitmer,0.04,Democrat Alexandria Ocasio-Cortez,0.04,A Republican Candidate,0.1,Republican Donald Trump,0.55,Republican Ron DeSantis,0.25,Republican Mike Pence,0.05,Republican Nikki Haley,0.05,,Republican Jim Risch,Republican Brad Little
